,Article_ID,title,category,FK_Grade,Lex_Div,Title_Lex_Div,Title_FK_Grade,authors,date,fact,main,url
15,15,UN alarmed by Burundi militia chants to 'impregnate or kill' opponents,Least Biased,17.0,0.03835978835978836,0.34285714285714286,10.0,Unknown,2017-04-19 00:00:00,HIGH,http://www.africanews.com,http://www.africanews.com/2017/04/19/un-alarmed-by-burundi-militia-chants-to-impregnate-or-kill-opponents/
16,16,Ivory Coast bans sale of SIM cards to minors under age 16,Least Biased,18.0,0.03690685413005272,0.43859649122807015,5.0,Unknown,2017-03-23 00:00:00,HIGH,http://www.africanews.com,http://www.africanews.com/2017/03/23/ivory-coast-bans-sale-of-sim-cards-to-minors-under-age-16/
17,17,Drogba joins Phoenix Rising as a player and co-owner,Least Biased,14.0,0.034501061571125265,0.4423076923076923,10.0,Unknown,2017-04-13 00:00:00,HIGH,http://www.africanews.com,http://www.africanews.com/2017/04/13/drogba-joins-phoenix-rising-as-a-player-and-co-owner/
18,18,Ex-Zimbabwe PM and Veep hint of alliance to unseat Mugabe in 2018,Least Biased,14.0,0.022736030828516378,0.46153846153846156,9.0,Unknown,2017-04-19 00:00:00,HIGH,http://www.africanews.com,http://www.africanews.com/2017/04/19/ex-zimbabwe-pm-and-veep-hint-of-alliance-to-unseat-mugabe-in-2018/
19,19,Zimbabwe law to compel banks to accept livestock as collateral,Least Biased,16.0,0.025336091003102378,0.2903225806451613,10.0,Unknown,2017-04-15 00:00:00,HIGH,http://www.africanews.com,http://www.africanews.com/2017/04/15/zimbabwe-law-to-compel-banks-to-accept-livestock-as-collateral/
20,20,Untangled: Gender-focused comedy brings realities of Egyptian youth to stage,Least Biased,13.0,0.009631728045325779,0.32894736842105265,15.0,Unknown,None,HIGH,http://english.ahram.org.eg,http://english.ahram.org.eg/NewsContent/5/35/263080/Arts--Culture/Stage--Street/Untangled-Genderfocused-comedy-brings-realities-of.aspx
21,21,What does Egypt's state of emergency involve?,Least Biased,16.0,0.01273639521420301,0.5111111111111111,4.0,Unknown,None,HIGH,http://english.ahram.org.eg,http://english.ahram.org.eg/NewsContent/1/64/262685/Egypt/Politics-/What-does-Egypts-state-of-emergency-involve.aspx
22,22,Art Alert: The Gypsy Jazz Project to perform live in Cairo,Least Biased,14.0,0.06526806526806526,0.4482758620689655,4.0,Unknown,None,HIGH,http://english.ahram.org.eg,http://english.ahram.org.eg/NewsContent/5/33/265233/Arts--Culture/Music/Art-Alert-The-Gypsy-Jazz-Project-to-perform-live-i.aspx
23,23,PROGRAMME: Fifth Cairo Contemporary Music Days at American University in Cairo and Goethe Institut,Least Biased,18.0,0.03369209171736079,0.3163265306122449,17.0,Unknown,None,HIGH,http://english.ahram.org.eg,http://english.ahram.org.eg/NewsContent/5/1176/265177/Arts--Culture/Spring-Festivals/PROGRAMME-Fifth-Cairo-Contemporary-Music-Days-at-A.aspx
24,24,Cost of Zika estimated at up to $18 billion,Least Biased,15.0,0.07378129117259552,0.4883720930232558,4.0,Unknown,None,HIGH,http://english.ahram.org.eg,http://english.ahram.org.eg/NewsContent/7/48/262584/Life--Style/Health/Cost-of-Zika-estimated-at-up-to--billion.aspx
25,25,INTERVIEW: Dalia Sadany sheds light on hidden talent of Egyptian designers,Least Biased,10.0,0.009732360097323601,0.35135135135135137,11.0,Unknown,None,HIGH,http://english.ahram.org.eg,http://english.ahram.org.eg/NewsContent/7/47/262659/Life--Style/Style/INTERVIEW-Dalia-Sadany-sheds-light-on-hidden-talen.aspx
26,26,UN discovers 17 new mass graves in central Congo,Least Biased,17.0,0.07969639468690702,0.4375,4.0,Unknown,None,HIGH,http://english.ahram.org.eg,http://english.ahram.org.eg/NewsContentP/2/265235/World/UN-discovers--new-mass-graves-in-central-Congo.aspx
27,27,"Egyptian musician Wagdi Francis, founder of Les Petits Chats band, dies",Least Biased,16.0,0.03510971786833856,0.36619718309859156,9.0,Unknown,None,HIGH,http://english.ahram.org.eg,"http://english.ahram.org.eg/NewsContent/5/33/262900/Arts--Culture/Music/Egyptian-musician-Wagdi-Francis,-founder-of-Les-Pe.aspx"
28,28,Aswan Heart Center collaborates with online service to provide support for nurses,Least Biased,17.0,0.03355263157894737,0.2716049382716049,15.0,Unknown,None,HIGH,http://english.ahram.org.eg,http://english.ahram.org.eg/NewsContent/7/48/262790/Life--Style/Health/Aswan-Heart-Center-collaborates-with-online-servic.aspx
